x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
1.0987181986200782,1.0805922168268978,1.0990697485998726,1.113204128181021,1.092830111052543,1.0935111319887187,1.1153427682119923,1.1085106226931325,1.1169514947854382,1.1162584012875565,1.1257671798657098,1.1444691833187866,1.1553266879463064,1.1699063485953034,1.1866175426251722,1.1738181064080502,1.2076286635189064,1.217026370797419,1.2230089641718547,1.2372737162478458,1.2480238878389158,1.276062451398246,1.283808367515376,1.2903125371502107,1.3021344550221718,1.3268669164482063,1.3375815572304972,1.3695858754110704,1.352529940186047,1.3899349594527357
1.1097845861174904,1.095121340662253,1.0854486947465176,1.1050475266261903,1.1005040735210725,1.1053672148379914,1.101974705387311,1.1148700241754017,1.127620021116691,1.1314684038359668,1.1448640625730602,1.1469811751947596,1.1658607205553164,1.1838973306243783,1.1892573561508666,1.1796311389307261,1.1902794665572067,1.2072148431391339,1.2177114172690684,1.253324286274852,1.236448994339127,1.2458214247084018,1.275556437841393,1.2834873481882165,1.306013665560821,1.3215391675266996,1.3394296472979936,1.3586293306751505,1.3481834220276887,1.3826075589744231
1.1038387352714631,1.0930928852671127,1.0960567799105894,1.1038890917177204,1.1200783896284627,1.1292591225733333,1.128333109010034,1.1241492244647229,1.1275045476364824,1.144937422871432,1.1348024991038757,1.1299334678894752,1.1672910711678843,1.176065465810298,1.1740167334613685,1.1834928223062813,1.1927920490118065,1.2191226978330498,1.22621873922049,1.2384716813908385,1.2385857126441364,1.2674360139639935,1.2843845960120415,1.2991393217006213,1.3141557775913566,1.3177830865503015,1.3391837699124955,1.354498495483441,1.3744847183533941,1.3847273234507376
1.10073642051077,1.1215932259251908,1.0997934621028385,1.1150843390722547,1.108640033747466,1.1126095437387176,1.1136792280562255,1.1323463846224302,1.1359894780523563,1.1464325174437069,1.151812534870932,1.1440515487570626,1.1724494334391105,1.165632864542587,1.191433947558773,1.1893692312783468,1.193589458924011,1.2257804976796354,1.2317450268961943,1.226563739920578,1.2398601790793646,1.2730101100142925,1.2696454638654868,1.3087023617507614,1.3081138950121143,1.3302573336037624,1.3563751924219198,1.3478483641763006,1.3735383344624672,1.3880365260293366
1.0965231570161906,1.092512458222095,1.1135558559983665,1.105347362184559,1.1125660376058735,1.1090788227231003,1.1207336656470264,1.1226017481656438,1.1357847853600385,1.1343617761875078,1.1468992227288914,1.17249710334787,1.1609107419636189,1.1714924666156061,1.1716689064813524,1.2128187814912246,1.1955663092414783,1.2186924852354073,1.2226486958459946,1.2416160659113522,1.2536030887608458,1.2673153291506374,1.269361542433168,1.302690040469087,1.3063123879985914,1.3281532400350138,1.3260623794339768,1.3643905964263932,1.3689477804488095,1.4030942358961145
1.0988038442679726,1.1080151673218472,1.1048513596083018,1.0938504422459472,1.127935325120048,1.1222015951975903,1.1201132460325038,1.1272121036438993,1.1366080430599839,1.1383320061076359,1.1398505223444997,1.1521398579542765,1.1699712652980276,1.1731308718446185,1.192625453664369,1.1926233459905837,1.194110031381466,1.2206122168055697,1.224422620331587,1.268234496521965,1.2610825382331057,1.2648177858268246,1.2741472794686999,1.2993901074332506,1.309702627447096,1.3309420513890562,1.3373146184844087,1.3562792224087528,1.356643962493467,1.3932736094910865
1.1208293937364588,1.0953642338264538,1.1254892566882635,1.1350021243463573,1.123505031753868,1.1342082753136093,1.1386517275078614,1.1191453486654348,1.1334277029346524,1.1234671482553238,1.1618367860152097,1.181031112537872,1.1787459382639682,1.1975193931497157,1.1960016710193486,1.2091686177585448,1.2244262658541887,1.2252520006480452,1.236265122971734,1.2424368800302188,1.250146828228814,1.2792512795399114,1.281739640296475,1.289486056591639,1.3240797829981503,1.3095297428499357,1.3441505752504617,1.3671563784132648,1.3824045218841565,1.3978629824031337
1.1164344832547168,1.1100655432111481,1.1106119701805288,1.1220338469852411,1.1446751012572502,1.1420396820701926,1.1321796707125036,1.143192431901043,1.1591962505673075,1.166180424610669,1.1638867533860726,1.1791357479585207,1.1879375059327457,1.199543662769447,1.1984367712456316,1.2212285531038516,1.2238707545052832,1.240494609337835,1.2335864927423796,1.252212751364245,1.24590329523242,1.274348827153853,1.3195268890783751,1.2989653295766854,1.313720720009041,1.3264426741451179,1.333839220728699,1.3678943749192167,1.3926859881512879,1.3870633995581834
1.1266898483960246,1.1229934675792548,1.129544171960597,1.128996982910959,1.1289318227364216,1.1310807741857538,1.1321274670174648,1.1644331401038515,1.1678454997014172,1.1702779852303897,1.166045462524906,1.1771505884534537,1.1737507569673717,1.2069984784848633,1.2175085018171339,1.2333870425492677,1.220713453289711,1.2393326768644042,1.2562216281702967,1.2488830181637403,1.2522601499491555,1.2945749458163336,1.287817311944969,1.300523071481656,1.3179586798275047,1.3346134099288367,1.3665307995651195,1.3784968897089633,1.3841994443055725,1.3894044453213652
1.129355360488064,1.1409181365494376,1.162645740940665,1.1286607032507947,1.1473714062060212,1.1299711829019785,1.1589954262036144,1.1668144278062103,1.1471372160713056,1.194595381663828,1.1883373246083924,1.186160489521329,1.179549922661679,1.2244798973983133,1.216394230700997,1.2364122921078395,1.2537226756270277,1.2368538854313913,1.2365708264232411,1.2749672114698598,1.2688140760079014,1.2935823714322456,1.3025072177287647,1.308439637838353,1.3344790453767128,1.3402896524882415,1.3477135334129315,1.3802625961659345,1.3773166623595354,1.4155739022496328
